stop_id	stop_name
42786	Nayland St near Hardwicke 
17346	Memorial Ave near Burnside Park
16499	Wairakei Rd near Abros Pl
38289	Riccarton Rd near Paeroa St
39137	Hawke St near Convoy 
16013	Wairakei Rd near Aorangi 
29327	Regent's Park Dr near Primrose Hill Ln
40126	Wainoni Rd near Orrick Cres
42304	Bridle Path Rd near Ferrymead Park Dr
33831	Oakridge St near Nicholls Rd
53088	Bus Interchange (Platform C)
26297	Rocking Horse Rd near Torea Ln
32506	Opawa Rd near Locarno St
32988	Opawa
50810	Lyttelton Jetty
10710	Sir William Pickering Dr near Roydvale Ave
42772	Colenso St near Menzies 
18203	Stanmore Rd near Warwick St
17351	Memorial Ave near Roydvale 
53090	Bus Interchange (Platform D)
36098	Moorhouse near Manchester St
38270	Springs Rd near Amyes 
12902	Papanui Rd near Weston 
10723	Roydvale Ave near O'connor Pl
33820	Halswell Shops
32974	Opawa Rd near Cholmondeley Ave
30795	Main Rd near Augusta St
28489	Blenheim Rd near Curletts 
50823	Diamond Harbour Jetty
21024	Gloucester St near England 
45477	Aidanfield Dr near Bibiana St
25866	Dunbars Rd near Balkwell St
23203	Hackthorne Rd near Dyers Pass 
24537	Springs Rd near Dufek Cres
26714	Gloucester St near England 
33018	Mccarthy St near Rowley Ave
32167	Major Hornbrook Rd near Muritai Tce
22351	Wales St near Shamrock Pl
36521	Waimairi Rd near Brulay Cts
37853	Aldwins Rd near Bass St
13882	Kotare St
11223	Lyttelton St near Conway 
51249	Sir William Pickering Dr
12551	Lincoln Rd and Parade Ct
54755	West Belt
13404	Woodbury St near Glenharrow Ave
10377	Kedleston Dr near Hatfield Pl
14736	Moorhouse Ave near Washington Wy
53429	Williams St (Mobil Kaiapoi)
23219	Hackthorne Rd near Stambridge Pl
10383	Maidstone Rd near Derenzy Pl
32151	Major Hornbrook Rd near Rockview Pl
24544	Bentley St near Cutts Rd
26722	Kippenberger Ave near East Belt
22367	Barrington St near Conway 
23699	Wilsons Rd
46318	Mandeville St near Kyle 
51254	Riccarton Ave (Hospital)
54764	West Belt
33485	Sedgwick Way near Woodside Common
13895	Williams St near Cass 
21030	Gloucester St
14743	Park Tce near Peterborough St
11234	Frankleigh St near Alvarez Pl
44131	Rocking Horse Rd near Penguin St
13415	Staveley St
12567	Lincoln Rd near Nairn St
46789	Pages Rd near Woodham 
24516	Cutts Rd near Yaldhurst 
20152	Hills Rd near Gresford St
19162	Harewood Rd near Farrington Ave
33471	Penruddock Rse near Highcrest Hts
3386	Barrington Mall
22333	Patterson Tce near Ridder Pl
24996	Yaldhurst Rd near Racecourse 
25845	James St near Boundary Rd
53440	Corsair Dr - The Landing
54772	Smith Street near Raven St N
11206	Aldwins Rd near Harrow St
14715	Riccarton Ave
32146	St Martins Shops
13869	Kotare St near Roa Rd
10354	Merrin St near Hawthornden Rd
11688	Centaurus Rd near Major Aitken Dr
24528	Springs Rd near Sioux Ave
26705	Oram Ave near Hood St
41087	Ti Rakau Dr near Shearwater 
11690	Centaurus Rd near Austin Kirk Ln
44597	High St near Weston Pl
45449	Linwood Ave near Kidbrooke St
22346	Patterson Tce near Rempstone Dr
19170	Bishopdale Mall (Harewood Rd)
14727	Oakridge St near Nicholls Rd
32133	Fendalton Rd near Stratford St
53455	The Runway near Deal St
54786	Smith Street near Raven St N
51277	Sir William Pickering near Gil Simpson
36972	St Martins Rd near Wilding 
10365	Kedleston Dr near Audley Gate
54304	Darfield
12546	Bealey Ave
13876	Williams St near Davie 
23647	Hay St near Mcgregors Rd
20134	Hills Rd near Warden St
44584	Ashley St near Duke 
19143	Harewood Rd near Marble Wood Dr
44108	Addington Village
24977	Yaldhurst Rd near Withells 
22314	Barrington St near Strauss Pl
51283	Sir William Pickering Dr
54793	Kingsbury Ave near Melford Cl
32122	University - Creyke Rd
53464	The Runway near Deal St
12994	Halswell Rd near Coppell Pl
10331	Avonhead Mall
54315	Darfield Town Centre
41073	Opawa Rd near Grange St
36964	St Martins Rd near Ensors 
12514	Papanui Rd near Webb St
28093	Blenheim Rd near Watts 
33459	Penruddock Rse near Pembridge Ln
19158	Harewood Rd near St James Ave
45420	Bluestone Dr near Alpine View
24500	Yaldhurst Rd near Ludecke Pl
25832	Springs Rd near Birchs 
10349	Avonhead Mall
32599	Greers Rd near Ardmore Pl
14704	Christchurch Hospital Main Stop WB
51296	Bush St near Coates Pl
33444	Penruddock Rse near Croftfield Pl
53472	Hawke St near Keppel 
32114	University - Creyke Rd
42391	Heathcote
11674	Gamblins Rd near Ngaio St
36955	Ensors Rd
13853	Williams St near Dale 
44566	Ashley St near Duke 
42389	Bridle Path Rd near Hammerton Ln
19127	Harewood Rd near Wooldridge 
20595	Whitmore St near Bealey Ave
18274	Burwood Rd near Stanford St
45892	Halswell Junction Rd near Foremans 
25809	Springs Rd near Boston Ave
41056	Bridle Path Rd near Rollin St
32581	Hills Rd near Dudley St
24954	Barbadoes St near Purchas 
32105	Ferry Rd near Radley St
10799	Guildford St near Wayside Ave
53486	Hawke St near Keppel 
36940	Ensors Rd and Sullivan Ave
10312	Withells Rd near Gainford St
11642	Centaurus Rd near Woodlau Rse
12973	Main North Rd near Cranford St
33437	Cashmere Rd near Mavin 
28072	Blenheim Rd near Hansons Ln
19136	Harewood Rd near Nunweek Blvd
18288	The Palms (Marshland Rd mall side)
46736	Brittan Tce near Seaview 
54343	Pegasus Main St near Motu Qy
11657	Howard St near Simeon 
28086	Blenheim Rd near Watts 
53493	Williams St (Mobil Kaiapoi)
12505	Papanui Rd near St Albans 
36938	Ensors Rd near Charles St
13830	Williams St near Sims Rd
42370	Bridle Path Rd
10320	Withells Rd near Apsley Dr
